id,status,from,to,subject,cycle_or_level
SC3S_LN_092,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.7,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.7,sciences,1ere_HS
SC3S_FR_093,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.12,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.12,sciences,1ere_HS
SC3S_TSH_094,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.13,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.13,sciences,1ere_HS
SC3S_EN_095,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.14,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.14,sciences,1ere_HS
SC3S_SW_096,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.15,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.15,sciences,1ere_HS
HG1S_FR_097,kept,PE7-SPTTIC.pdf#p.18,PE7-SPTTIC.pdf#p.18,histoire-géo,7eme_EB
HG1S_EN_098,kept,PE7-SPTTIC.pdf#p.18,PE7-SPTTIC.pdf#p.18,histoire-géo,7eme_EB
HG1S_LN_099,kept,PE7-SPTTIC.pdf#p.18,PE7-SPTTIC.pdf#p.18,histoire-géo,7eme_EB
HG2S_FR_100,kept,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.14,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.14,histoire-géo,8eme_EB
HG2S_SW_101,kept,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.14,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.14,histoire-géo,8eme_EB
HG2S_TSH_102,kept,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.14,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.14,histoire-géo,8eme_EB
HG2S_FR_103,kept,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.20,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.20,histoire-géo,8eme_EB
