id,file_path,titre,source_url,langue,grade_level,matiere,type_doc,checksum,licence,ingested,validated,notes
Guide-de-lenseignant-_3e-Annee-Lingala.pdf,Guide de lenseignant  3e Annee Lingala,Guide De Lenseignant  3E Annee Lingala,https://educrdc.cd/programmes,lingala,secondaire,general,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Manuel-de-leleve-_-1e-Annee-Lingala.pdf,Manuel de leleve   1e Annee Lingala,Manuel De Leleve   1E Annee Lingala,https://educrdc.cd/programmes,lingala,secondaire,general,manuel,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Manuel-de-leleve-_-2e-Annee-Lingala.pdf,Manuel de leleve   2e Annee Lingala,Manuel De Leleve   2E Annee Lingala,https://educrdc.cd/programmes,lingala,secondaire,general,manuel,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Manuel-de-leleve-_-3e-Annee-Lingala.pdf,Manuel de leleve   3e Annee Lingala,Manuel De Leleve   3E Annee Lingala,https://educrdc.cd/programmes,lingala,secondaire,general,manuel,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Cahier-de-leleve-_-1e-Annee-Kiswahili.pdf,Cahier de leleve   1e Annee Kiswahili,Cahier De Leleve   1E Annee Kiswahili,https://educrdc.cd/programmes,swahili,secondaire,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Cahier-de-leleve-_-2e-Annee-Kiswahili.pdf,Cahier de leleve   2e Annee Kiswahili,Cahier De Leleve   2E Annee Kiswahili,https://educrdc.cd/programmes,swahili,secondaire,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Cahier-de-leleve-_-3e-Annee-Kiswahili.pdf,Cahier de leleve   3e Annee Kiswahili,Cahier De Leleve   3E Annee Kiswahili,https://educrdc.cd/programmes,swahili,secondaire,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Guide-de-lenseignant-_1e-Annee-Kiswahili.pdf,Guide de lenseignant  1e Annee Kiswahili,Guide De Lenseignant  1E Annee Kiswahili,https://educrdc.cd/programmes,swahili,secondaire,general,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Guide-de-lenseignant-_2e-Annee-Kiswahili.pdf,Guide de lenseignant  2e Annee Kiswahili,Guide De Lenseignant  2E Annee Kiswahili,https://educrdc.cd/programmes,swahili,secondaire,general,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Guide-de-lenseignant-_3e-Annee-Kiswahili.pdf,Guide de lenseignant  3e Annee Kiswahili,Guide De Lenseignant  3E Annee Kiswahili,https://educrdc.cd/programmes,swahili,secondaire,general,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Manuel-de-leleve-_-2e-Annee-Kiswahili.pdf,Manuel de leleve   2e Annee Kiswahili,Manuel De Leleve   2E Annee Kiswahili,https://educrdc.cd/programmes,swahili,secondaire,general,manuel,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Manuel-de-leleve-_-3e-Annee-Kiswahili.pdf,Manuel de leleve   3e Annee Kiswahili,Manuel De Leleve   3E Annee Kiswahili,https://educrdc.cd/programmes,swahili,secondaire,general,manuel,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Cahier-de-leleve-_-1e-Annee-Ciluba.pdf,Cahier de leleve   1e Annee Ciluba,Cahier De Leleve   1E Annee Ciluba,https://educrdc.cd/programmes,francais,secondaire,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Cahier-de-leleve-_-2e-Annee-Ciluba.pdf,Cahier de leleve   2e Annee Ciluba,Cahier De Leleve   2E Annee Ciluba,https://educrdc.cd/programmes,francais,secondaire,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Cahier-de-leleve-_-3e-Annee-Ciluba.pdf,Cahier de leleve   3e Annee Ciluba,Cahier De Leleve   3E Annee Ciluba,https://educrdc.cd/programmes,francais,secondaire,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Guide-de-lenseignant-_1e-Annee-Ciluba.pdf,Guide de lenseignant  1e Annee Ciluba,Guide De Lenseignant  1E Annee Ciluba,https://educrdc.cd/programmes,francais,secondaire,general,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Guide-de-lenseignant-_2e-Annee-Ciluba.pdf,Guide de lenseignant  2e Annee Ciluba,Guide De Lenseignant  2E Annee Ciluba,https://educrdc.cd/programmes,francais,secondaire,general,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Guide-de-lenseignant-_3e-Annee-Ciluba.pdf,Guide de lenseignant  3e Annee Ciluba,Guide De Lenseignant  3E Annee Ciluba,https://educrdc.cd/programmes,francais,secondaire,general,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Manuel-de-leleve-_-1e-Annee-Ciluba.pdf,Manuel de leleve   1e Annee Ciluba,Manuel De Leleve   1E Annee Ciluba,https://educrdc.cd/programmes,francais,secondaire,general,manuel,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Manuel-de-leleve-_-2e-Annee-Ciluba.pdf,Manuel de leleve   2e Annee Ciluba,Manuel De Leleve   2E Annee Ciluba,https://educrdc.cd/programmes,francais,secondaire,general,manuel,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Manuel-de-leleve-_-3e-Annee-Ciluba.pdf,Manuel de leleve   3e Annee Ciluba,Manuel De Leleve   3E Annee Ciluba,https://educrdc.cd/programmes,francais,secondaire,general,manuel,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
IFADEM_RDC-Kinshasa-Livret_2-Competences-Production-Orales.pdf,IFADEM RDC Kinshasa Livret 2 Competences Production Orales,Ifadem Rdc Kinshasa Livret 2 Competences Production Orales,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
IFADEM_RDC-Kinshasa-Livret_3-Competences-Comprehension-Production-Ecrites.pdf,IFADEM RDC Kinshasa Livret 3 Competences Comprehension Production Ecrites,Ifadem Rdc Kinshasa Livret 3 Competences Comprehension Production Ecrites,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
IFADEM_RDC-Kinshasa-Livret_4-Nouveau-Programme-Enseignement-Primaire.pdf,IFADEM RDC Kinshasa Livret 4 Nouveau Programme Enseignement Primaire,Ifadem Rdc Kinshasa Livret 4 Nouveau Programme Enseignement Primaire,https://educrdc.cd/programmes,francais,general,general,programme,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
IFADEM_RDC-Kinshasa-livret_No-1_Enseigner-la-Langue-Nationale.pdf,IFADEM RDC Kinshasa livret No 1 Enseigner la Langue Nationale,Ifadem Rdc Kinshasa Livret No 1 Enseigner La Langue Nationale,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
IFADEM_RDC-Kinshasa-Livret_No-2_BILINGUISME.pdf,IFADEM RDC Kinshasa Livret No 2 BILINGUISME,Ifadem Rdc Kinshasa Livret No 2 Bilinguisme,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
PSYCHOPEDAGOGIE.pdf,PSYCHOPEDAGOGIE,Psychopedagogie,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
ARRETE-DE-CREATION-HPR.pdf,ARRETE DE CREATION HPR,Arrete De Creation Hpr,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
ARRETE-DE-CREATION-IFME.pdf,ARRETE DE CREATION IFME,Arrete De Creation Ifme,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
ARRETE-DE-MISE-EN-OEUVRE-HPR.pdf,ARRETE DE MISE EN OEUVRE HPR,Arrete De Mise En Oeuvre Hpr,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
